시간,rate
2021-02-18 00:00:00,0.5
2021-02-19 00:00:00,0.66667
2021-02-20 00:00:00,0.6
2021-02-21 00:00:00,-0.125
2021-02-22 00:00:00,1.42857
2021-02-23 00:00:00,0.35294
2021-02-24 00:00:00,0.30435
2021-02-25 00:00:00,0.16667
2021-02-26 00:00:00,0.22857
2021-02-27 00:00:00,0.32558
2021-02-28 00:00:00,0.31579
2021-03-01 00:00:00,0.30667
2021-03-02 00:00:00,0.26531
2021-03-03 00:00:00,0.34677
2021-03-04 00:00:00,0.29341
2021-03-05 00:00:00,0.5463
2021-03-06 00:00:00,0.34132
2021-03-07 00:00:00,0.31473
2021-03-08 00:00:00,0.17148
2021-03-09 00:00:00,0.06667
2021-03-10 00:00:00,0.08152
2021-03-11 00:00:00,0.01131
2021-03-12 00:00:00,-0.00745
2021-03-13 00:00:00,-0.01752
2021-03-14 00:00:00,-0.02803
2021-03-15 00:00:00,-0.07995
2021-03-16 00:00:00,0.01567
2021-03-17 00:00:00,-0.00281
2021-03-18 00:00:00,-0.07032
2021-03-27 00:00:00,0.38462
2021-03-28 00:00:00,0.11111
2021-03-29 00:00:00,0.3
2021-03-30 00:00:00,0.38462
2021-03-31 00:00:00,0.25
2021-04-01 00:00:00,0.35556
2021-04-02 00:00:00,0.31148
2021-04-03 00:00:00,0.2375
2021-04-04 00:00:00,0.36364
2021-04-05 00:00:00,0.27407
2021-04-06 00:00:00,0.18023
2021-04-07 00:00:00,0.15764
2021-04-08 00:00:00,0.34894
2021-04-09 00:00:00,0.347
2021-04-10 00:00:00,0.27166
2021-04-11 00:00:00,0.24494
2021-04-12 00:00:00,0.22041
2021-04-13 00:00:00,0.16606
2021-04-14 00:00:00,0.22037
2021-04-15 00:00:00,0.24532
2021-04-16 00:00:00,0.16279
2021-04-17 00:00:00,0.21941
2021-04-18 00:00:00,0.15292
2021-04-19 00:00:00,0.19707
2021-04-20 00:00:00,0.08039
2021-04-21 00:00:00,0.20802
2021-04-22 00:00:00,0.05383
2021-04-23 00:00:00,0.11741
2021-04-24 00:00:00,0.04981
2021-03-29 00:00:00,0.33333
2021-03-30 00:00:00,0.25
2021-03-31 00:00:00,0.7
2021-04-01 00:00:00,0.23529
2021-04-02 00:00:00,0.38095
2021-04-03 00:00:00,0.2069
2021-04-04 00:00:00,0.25714
2021-04-05 00:00:00,0.36364
2021-04-06 00:00:00,0.21667
2021-04-07 00:00:00,0.19178
2021-04-08 00:00:00,0.63218
2021-04-09 00:00:00,0.28873
2021-04-10 00:00:00,0.14208
2021-04-11 00:00:00,0.1866
2021-04-12 00:00:00,0.45565
2021-04-13 00:00:00,0.19945
2021-04-14 00:00:00,0.22864
2021-04-15 00:00:00,0.28571
2021-04-16 00:00:00,0.26754
2021-04-17 00:00:00,0.21915
2021-04-18 00:00:00,0.18448
2021-04-19 00:00:00,0.23642
2021-04-20 00:00:00,0.14922
2021-04-21 00:00:00,0.26869
2021-04-22 00:00:00,0.15463
2021-04-23 00:00:00,0.05641
2021-04-24 00:00:00,0.10025
2021-03-27 00:00:00,0.0
2021-03-28 00:00:00,1.5
2021-03-29 00:00:00,-0.2
2021-03-30 00:00:00,0.375
2021-03-31 00:00:00,0.54545
2021-04-01 00:00:00,0.29412
2021-04-02 00:00:00,0.18182
2021-04-03 00:00:00,0.46154
2021-04-04 00:00:00,0.28947
2021-04-05 00:00:00,0.30612
2021-04-06 00:00:00,0.1875
2021-04-07 00:00:00,0.13158
2021-04-08 00:00:00,0.45349
2021-04-09 00:00:00,0.328
2021-04-10 00:00:00,0.31928
2021-04-11 00:00:00,0.22831
2021-04-12 00:00:00,0.14126
2021-04-13 00:00:00,0.15309
2021-04-14 00:00:00,0.14972
2021-04-15 00:00:00,0.23833
2021-04-16 00:00:00,0.19444
2021-04-17 00:00:00,0.201
2021-04-18 00:00:00,0.20332
2021-04-19 00:00:00,0.15057
2021-04-20 00:00:00,0.13187
2021-04-21 00:00:00,0.27891
2021-04-22 00:00:00,0.13389
2021-04-23 00:00:00,0.11808
2021-04-24 00:00:00,0.10289
2021-03-27 00:00:00,1.0
2021-03-28 00:00:00,0.16667
2021-03-29 00:00:00,0.28571
2021-03-30 00:00:00,0.66667
2021-03-31 00:00:00,0.4
2021-04-01 00:00:00,0.19048
2021-04-02 00:00:00,0.28
2021-04-03 00:00:00,0.21875
2021-04-04 00:00:00,0.30769
2021-04-05 00:00:00,0.15686
2021-04-06 00:00:00,0.23729
2021-04-07 00:00:00,0.23288
2021-04-08 00:00:00,0.32222
2021-04-09 00:00:00,0.21849
2021-04-10 00:00:00,0.42069
2021-04-11 00:00:00,0.24757
2021-04-12 00:00:00,0.14397
2021-04-13 00:00:00,0.18367
2021-04-14 00:00:00,0.23276
2021-04-15 00:00:00,0.17949
2021-04-16 00:00:00,0.22332
2021-04-17 00:00:00,0.22132
2021-04-18 00:00:00,0.19577
2021-04-19 00:00:00,0.1604
2021-04-20 00:00:00,0.1449
2021-04-21 00:00:00,0.30558
2021-04-22 00:00:00,0.13329
2021-04-23 00:00:00,0.05346
2021-04-24 00:00:00,0.07692
2021-03-27 00:00:00,4.0
2021-03-28 00:00:00,0.4
2021-03-29 00:00:00,0.14286
2021-03-30 00:00:00,0.25
2021-03-31 00:00:00,0.2
2021-04-01 00:00:00,0.41667
2021-04-02 00:00:00,0.17647
2021-04-03 00:00:00,0.2
2021-04-04 00:00:00,0.29167
2021-04-05 00:00:00,0.20968
2021-04-06 00:00:00,0.22667
2021-04-07 00:00:00,0.23913
2021-04-08 00:00:00,0.33333
2021-04-09 00:00:00,0.13816
2021-04-10 00:00:00,0.27168
2021-04-11 00:00:00,0.32273
2021-04-12 00:00:00,0.17526
2021-04-13 00:00:00,0.23977
2021-04-14 00:00:00,0.20283
2021-04-15 00:00:00,0.2451
2021-04-16 00:00:00,0.18425
2021-04-17 00:00:00,0.20612
2021-04-18 00:00:00,0.14443
2021-04-19 00:00:00,0.16667
2021-04-20 00:00:00,0.16268
2021-04-21 00:00:00,0.20739
2021-04-22 00:00:00,0.13765
2021-04-23 00:00:00,0.06308
2021-04-24 00:00:00,-0.00973
2021-03-27 00:00:00,0.41667
2021-03-28 00:00:00,0.23529
2021-03-29 00:00:00,0.14286
2021-03-30 00:00:00,0.16667
2021-03-31 00:00:00,0.32143
2021-04-01 00:00:00,0.21622
2021-04-02 00:00:00,0.28889
2021-04-03 00:00:00,0.22414
2021-04-04 00:00:00,0.16901
2021-04-05 00:00:00,0.22892
2021-04-06 00:00:00,0.20588
2021-04-07 00:00:00,0.1626
2021-04-08 00:00:00,0.25175
2021-04-09 00:00:00,0.28492
2021-04-10 00:00:00,0.18696
2021-04-11 00:00:00,0.18681
2021-04-12 00:00:00,0.18827
2021-04-13 00:00:00,0.1974
2021-04-14 00:00:00,0.20607
2021-04-15 00:00:00,0.20504
2021-04-16 00:00:00,0.20448
2021-04-17 00:00:00,0.21066
2021-04-18 00:00:00,0.21494
2021-04-19 00:00:00,0.23252
2021-04-20 00:00:00,0.1784
2021-04-21 00:00:00,0.32599
2021-04-22 00:00:00,0.14217
2021-04-23 00:00:00,0.08196
2021-04-24 00:00:00,0.1515
2021-03-27 00:00:00,0.0
2021-03-28 00:00:00,1.75
2021-03-29 00:00:00,0.27273
2021-03-30 00:00:00,-0.28571
2021-03-31 00:00:00,1.4
2021-04-01 00:00:00,0.125
2021-04-02 00:00:00,0.22222
2021-04-03 00:00:00,0.27273
2021-04-04 00:00:00,0.2619
2021-04-05 00:00:00,0.22642
2021-04-06 00:00:00,0.16923
2021-04-07 00:00:00,0.13158
2021-04-08 00:00:00,0.0814
2021-04-09 00:00:00,0.30108
2021-04-10 00:00:00,0.33058
2021-04-11 00:00:00,0.2795
2021-04-12 00:00:00,0.25728
2021-04-13 00:00:00,0.18919
2021-04-14 00:00:00,0.17857
2021-04-15 00:00:00,0.24518
2021-04-16 00:00:00,0.19248
2021-04-17 00:00:00,0.27273
2021-04-18 00:00:00,0.18367
2021-04-19 00:00:00,0.21305
2021-04-20 00:00:00,0.18883
2021-04-21 00:00:00,0.30231
2021-04-22 00:00:00,0.23344
2021-04-23 00:00:00,0.11749
2021-04-24 00:00:00,0.26974
2021-04-02 00:00:00,1.5
